"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"277",368,12,0.0116,0.0104,0.0091,0.0085,0.0086,116,104,91,85,86
"278",368,13,0.0347,0.0314,0.037,0.0363,0.0409,347,314,370,363,409
"279",368,14,0.1401,0.1051,0.1463,0.1376,0.1411,1401,1051,1463,1376,1411
"280",368,15,0.4162,0.2938,0.4283,0.4121,0.4309,4162,2938,4283,4121,4309
"281",368,16,0.83,0.5343,0.8452,0.8068,0.8618,8300,5343,8452,8068,8618
"282",368,17,0.9931,0.5842,0.9961,0.9754,0.9991,9931,5842,9961,9754,9991
"283",376,12,0.0099,0.0091,0.01,0.0077,0.0086,99,91,100,77,86
"284",376,13,0.0335,0.0278,0.0316,0.034,0.0305,335,278,316,340,305
"285",376,14,0.1342,0.098,0.1291,0.1249,0.1295,1342,980,1291,1249,1295
"286",376,15,0.4052,0.2764,0.4072,0.392,0.4122,4052,2764,4072,3920,4122
"287",376,16,0.8296,0.5253,0.8425,0.8008,0.8496,8296,5253,8425,8008,8496
"288",376,17,0.9931,0.5858,0.9944,0.9716,0.9984,9931,5858,9944,9716,9984
"289",384,12,0.007,0.0072,0.0068,0.0048,0.0068,70,72,68,48,68
"290",384,13,0.0263,0.0223,0.03,0.0266,0.0269,263,223,300,266,269
"291",384,14,0.12,0.0919,0.1207,0.1161,0.1223,1200,919,1207,1161,1223
"292",384,15,0.3837,0.2685,0.3967,0.3827,0.3992,3837,2685,3967,3827,3992
"293",384,16,0.8149,0.5141,0.8408,0.7969,0.8554,8149,5141,8408,7969,8554
